[Mon Aug 04 18:49:10.555231 2025] [php:error] [pid 1716:tid 1188] [client ::1:56260] script 'C:/MyServer/www/info.php' not found or unable to stat, referer: http://localhost/
[Tue Aug 05 01:02:28.208433 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\bzwrite(): Implicitly marking parameter $length as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\bzip2.php on line 84
[Tue Aug 05 01:02:28.209430 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\com_print_typeinfo(): Implicitly marking parameter $dispinterface as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\com.php on line 120
[Tue Aug 05 01:02:28.214005 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\curl_getinfo(): Implicitly marking parameter $opt as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\curl.php on line 515
[Tue Aug 05 01:02:28.214005 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\curl_init(): Implicitly marking parameter $url as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\curl.php on line 545
[Tue Aug 05 01:02:28.215009 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\date_sunrise(): Implicitly marking parameter $latitude as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 236
[Tue Aug 05 01:02:28.215009 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\date_sunrise(): Implicitly marking parameter $longitude as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 236
[Tue Aug 05 01:02:28.215009 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\date_sunrise(): Implicitly marking parameter $zenith as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 236
[Tue Aug 05 01:02:28.215009 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\date_sunset(): Implicitly marking parameter $latitude as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 339
[Tue Aug 05 01:02:28.215009 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\date_sunset(): Implicitly marking parameter $longitude as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 339
[Tue Aug 05 01:02:28.215009 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\date_sunset(): Implicitly marking parameter $zenith as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 339
[Tue Aug 05 01:02:28.216064 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\date(): Implicitly marking parameter $timestamp as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 377
[Tue Aug 05 01:02:28.216064 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\gmdate(): Implicitly marking parameter $timestamp as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 408
[Tue Aug 05 01:02:28.216064 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\mktime(): Implicitly marking parameter $hour as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 464
[Tue Aug 05 01:02:28.216064 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\mktime(): Implicitly marking parameter $minute as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 464
[Tue Aug 05 01:02:28.216064 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\mktime(): Implicitly marking parameter $second as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\datetime.php on line 464
